Comment	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NK Cells	2.001643907	1.89699968	1.842276994	2.245035019	1.666443582	8.032888613	1.424581006	2.42439907	4.405819247	1.156593718	1.50434149	1.098879988	1.112089848	0.666510552	1.133343392	1.061965431	1.157673342	1.299874768	1.274691118	1.21366768	1.192269134	1.369823321	1.232191887	0.879543471	1.040940321	1.120917492	1.075228435	1.189260154	1.174430142	1.731119874	1.914018433	1.793357082	1.224663661
NK+CD11b-CD27neg (% )	17	9	13.7	11.2	13.7	5.6	21.6	10.6	4.5	5.4	4.5	12.8	5.6	11.7	10.5	11.7	9.4	13	37.6	40.5	42.4	40.2	45.7	44.8	42.1	42.2	50	38.2	38.1	39	33.4	36.2	39.5
NK+CD11bnegCD27negLy6C+ (% )	1.1	0	0	1.9	0	1.4	0	1.7	1.1	0	0	0	0	1.1	0.5	1.9	2.5	1.4	2.5	2.4	2.5	2.5	3.4	2.6	2.3	2	2.1	2.4	2.8	2.8	2.1	1.9	1.8
NK+CD11bposCD27neg (% )	36.6	17.1	46.5	39.3	27.7	66.1	37.3	56.3	59.5	15.2	9.3	11.4	12.1	17.4	10.5	11.4	15.7	12.6	37.3	28.9	31.8	30.7	28.2	28.8	28.9	21.2	30.4	27.7	35.8	29.8	32.5	33.1	25.6
NK+CD11bposCD27negLy6C+ (% )	2.7	6.6	2.6	3.9	4.3	6.1	0	6.5	9.1	4.3	6.5	10.8	5.1	5.6	3.4	8.9	6.2	4	6.3	9.2	7.5	8.2	5.7	6.9	4.6	6.7	3.1	6.1	4.4	4.1	6.2	6.3	6.8
NK+CD11b+CD27pos (% )	23.7	40	21.4	26.5	32.5	17	15.7	17.6	21.9	38.4	46.4	37.9	45.8	26.1	21.2	18.7	22.3	17	10.2	12.8	9.3	10.1	7.4	10.3	12.8	13.3	7.1	13.2	10.1	12	15	12.7	10.5
NK+CD11b+CD27posLy6C+ (% )	40.4	20.2	30.9	26.6	22.2	54.9	56.3	49.6	53.6	10.2	13.9	17.1	7.8	14.3	9.4	24.4	15.3	17.6	51	32.4	40.5	36.5	51.1	61.7	36.6	41.9	49.1	29.7	36.7	36.3	33.1	35.8	37.7
NK+CD11bnegCD27+ (% )	14.7	24.4	10.3	14.4	16.5	5.8	21.6	9.6	9.4	39.5	31.3	28.3	28.2	35.2	55.7	54.6	50.1	47.8	9.5	10.8	11.5	13.2	13.1	11.1	10.3	16.4	7.6	14.5	10.7	13.5	13.2	11.8	18.9
NK+CD11bnegCD27+Ly6C+ (% )	54.3	26.9	38.4	22.3	17.1	45	31.8	43.9	51.4	12.4	12.6	20.4	15.4	30.2	25.4	24.7	23.6	26.9	80.4	75.6	81.7	76.4	82.7	84	79.1	73.4	79.6	79.3	79.1	75.6	76.4	68.7	75.3
NK CD44hiCD62L- (% )	23	33	33	38.1	43	7.3	45.1	24	10.9	37.3	46.5	31.6	28.1	32.9	42.8	35.5	24.4	40.7	34.8	49.7	43.1	42.1	42.3	42.4	45	38.5	44.6	47.8	39.1	35.7	43.4	38.6	39.6
NK CD44loCD62Lpos (% )	73.6	64.2	65.3	59.1	56.2	91.8	52	73.5	86.3	58.5	49.7	62.9	69.1	64.3	52.9	61	72.8	54.1	63.8	48.8	55.2	56.4	55.5	56.1	54	60.2	53.4	50.3	58.8	62	54.1	59.8	58
T cells	33.08550186	29.88575293	40.30169168	45.34443059	20.14455896	35.09463233	45.09776536	39.63224163	34.77965598	34.88679744	24.10285992	25.49901062	34.85741026	26.5175775	27.68189784	16.39939826	42.45871133	14.25397228	50.59445178	49.68428866	51.194558	46.89079323	51.95487748	59.37690639	48.12219635	54.5516886	51.7571405	46.54391153	52.20827448	52.89297375	48.59834523	54.13388349	46.92084565
ab-T	30.19838972	27.13812863	37.81311179	42.53094119	18.571811	29.22122246	42.22067039	34.71550419	30.43856577	31.59277318	20.96970065	22.55969877	23.55345739	22.2208237	23.22512506	11.9987748	20.54194767	12.01829336	48.54332116	47.98070009	49.58388457	45.04528651	50.5190903	57.72670059	46.18954063	52.7765319	50.68306761	45.23207486	50.62658442	51.2339397	46.65698816	52.45969912	45.13253244
CD4+ SP	16.18127814	14.0655586	19.24225691	22.34241581	10.6612234	13.56189885	20.85195531	17.36735221	14.21598277	11.68310844	8.068188718	8.2204676	8.893966087	9.262945292	9.051659103	6.008498825	9.209121001	6.191578291	22.30693916	24.0590132	23.48282666	21.91669021	26.05268611	26.95542051	21.49452047	25.7599739	23.648959	22.50987143	23.98098567	24.35511456	20.84900591	25.04869423	21.20468364
CD4+CD25neg	14.36644187	12.41057764	17.32970232	20.18013048	10.0455093	12.3952839	19.25977654	15.86013366	12.45132058	10.24870545	7.278826887	7.450098938	8.167253909	8.311916401	8.324531981	5.546724153	8.360244715	5.733187494	20.77612868	22.47929667	21.70849947	20.39233015	24.94016474	25.31506035	20.27323832	23.96517149	22.44922131	21.17157698	22.56714735	22.93565987	19.4512791	23.78712935	20.42804911
CD4+CD62Lneg (% )	26.5	20.5	22.3	27.1	24.3	36.9	29.3	24.9	29.3	23.5	20.1	15.8	19.3	31.5	28.3	34.3	21.1	29	16.7	20.2	18.7	20.6	21.3	18.6	23	20.1	24.5	20.8	20	24.3	28.6	28.7	22
 CD4+CD25-CD62Lpos (% )	72.3	78.7	76	71.1	74	62.2	68.1	70.4	68.8	72.4	53	65.7	77.4	51.7	66.8	59.8	71.3	63.9	83	79.4	81	79.1	78.1	80.9	76.6	79.7	75.8	79.3	80	75.7	71.4	71	77.7
Early CD4+CD25neg (% )	2.1	2.3	1.3	1.9	3.8	4.2	1.3	4.4	8.7	1.2	1.9	0.8	0.9	1.5	1.2	1.3	2	1.8	1.4	1.5	1.8	1.8	1.6	1.1	1.3	0.8	1.5	1.2	1.1	1.6	1.2	0.9	1.6
Late CD4+CD25neg (% )	97.3	96.6	98.4	97.6	95.2	95.3	98.6	94.8	90.2	97.5	96.4	98.6	97.8	97.8	97.9	97.9	96.6	96.8	88.2	88.8	87.2	88.6	93.1	90.3	91.9	90.3	91.6	91	93.8	92.8	92.5	93.7	93.7
CD4+ Ly6C+ (% )	4.6	5.9	5.1	5.3	4.5	6.2	2.8	5.9	6.7	1.2	1.8	1.1	1	1.5	1.4	1.1	1.4	1.2	19.3	18.7	18.6	15.8	10.4	17.8	14.2	16.3	16	17.4	16.1	13.2	14.7	16.6	13.5
Treg (%)	1.849395677	1.679894651	1.976557402	2.228245227	0.622406639	1.210052746	1.606145251	1.569988554	1.833635756	1.389046377	0.755965754	0.743472999	0.685421713	0.927904458	0.706816309	0.441613226	0.82009226	0.441217655	1.505322869	1.554431789	1.749149687	1.50117955	1.091540175	1.640360157	1.221282153	1.794802412	1.19453777	1.337959536	1.413572316	1.418747968	1.397726809	1.261564879	0.776634533
Treg CD62L-neg (% )	52.4	56.1	60.9	66.7	36.6	56.2	67.8	54.8	43.1	60.5	68.5	62.8	52.6	61.4	61.8	48.5	34.6	50.6	21.2	22.7	23	27.1	27.7	21.3	27.6	22.8	30.4	20.6	25.4	24	34.6	31.6	22.6
Treg CD62L+  (% )	46.2	42.6	38.3	31.8	63.4	41.8	31.3	43.5	56.2	37.4	29.3	35.1	45.4	34.4	36.3	49.7	62.9	47.4	78	76.6	76.1	72	71.1	78.2	72	76.7	68.9	79	73.6	75.3	65.9	68.9	78
Early Treg (% )	15.4	21.9	13.3	17.4	23.7	39.9	8.3	49	57.3	28.4	29.5	30.1	28.3	28.7	22.4	26.5	33.8	22.9	26.8	30.5	30.7	33.5	29	22.9	30.7	31	31.3	37.1	32.7	35.3	32	28.7	42.9
Late Treg (% )	83.7	77.6	86.4	81.7	76.3	60.1	91.7	51	41.9	71.6	70.5	69.9	70.4	70.3	76.7	72.6	65.1	76.4	73.4	69.9	69.7	67	71.4	77.5	69.7	69.4	69.4	63.1	67.7	65	68.3	71.6	57.3
TReg Ly6C+ (% )	6.5	7.8	6.6	7.1	20.4	16.7	9.6	14.4	9.5	1.4	1.6	1.6	3.6	2.4	1.1	1.4	2.5	1.9	31.7	27	25.8	22.7	19.2	26.7	21.9	25.3	23.3	27.5	26.3	21.8	23	29.4	28.7
CD8 SP	12.01733575	11.6133395	15.19753024	16.91571525	7.388569134	10.83152343	20.29329609	15.21027951	13.50926899	18.25414824	11.22411804	12.30284518	13.11660427	11.09445892	13.04418472	5.44708008	9.748947742	5.085099525	25.23366229	22.9914867	25.12668861	22.18471487	23.53364762	29.62069205	23.76582818	25.85634909	26.14723292	21.67460958	25.32353356	25.62651062	24.5469486	26.03411159	22.72803339
CD8+CD44+CD62Lneg (% )	6.5	5.8	7.2	7.7	5.5	3.9	4.6	6.4	3.3	4.2	12.1	7.1	5.7	11.3	9.7	8.9	7.6	9.5	0.9	1.5	1.1	1.5	1.8	1.6	2.1	1.8	2.4	2.6	2.4	3.7	4.2	2.8	3.4
CD8+CD44+CD62Lhi-1 (% )	22.4	22.9	26.4	17.1	15	41.9	14	24.4	45.2	25	25.1	19.8	23.3	24	28.2	15.3	23.5	14.6	21.4	20.9	21	22.4	16.4	17.7	28.9	19.1	21.6	22.9	24.4	25.9	24.5	23.9	29.4
CD8+CD44-CD62Lhi (% )	1.002642624	1.041985903	0.966143683	0.94292804	1.177536232	3.380120309	0.894700619	4.078263825	12.3792318	0.952479553	1.136056262	0.67145534	0.724029381	1.211017888	1.730581013	1.879137305	4.177565979	2.156180184	3.712599929	2.812922493	3.088050429	3.148809265	2.060448632	2.880065696	2.965546901	3.185434736	2.224039067	3.510615285	3.567301834	3.705082596	3.05955246	2.970491965	3.933599589
CD8+CD62L+ (% )	21.29644023	21.75911738	25.40049546	16.157391	13.85869565	38.47035233	13.14521679	20.32334806	32.73898358	24.06046175	24.03299973	19.14428482	22.53934942	22.80354599	26.44363378	13.41020713	19.31573904	12.48506261	17.6231477	18.08119943	17.91797992	19.28033436	14.31197306	14.84156054	25.901467	15.90136908	19.38438422	19.4088198	20.8565306	22.19326549	21.49879666	21.00017227	25.50927062
CD8 Ly6C+ (% )	44.7	39.6	42.6	38.5	33.2	52.5	40.7	47.9	52.4	43.9	44.6	39.2	42.3	44.7	47.7	39.1	43.5	39.8	36.8	45.5	38.6	36.9	37.3	33	42.3	29.2	40.3	35.4	36.5	36.6	40.1	36.8	41.9
CD8a Late (%)	78.4470698	84.82991112	77.91907514	77.24920241	80.25362319	88.71383558	78.45836201	75.95766374	79.88374833	84.04596749	58.81796051	70.4091193	78.50996852	56.87562662	72.43971884	65.90504662	65.8154412	55.19821271	89.86487319	86.0786569	89.17360491	90.13344072	87.30710811	85.1845093	88.48759975	88.02809834	87.59045862	85.7829352	88.21823988	87.57066821	84.53965897	90.20008368	87.66036725
CD8a Early (%)	1.655526193	2.022678517	1.263418662	1.609358384	2.083333333	4.841019765	1.307639367	4.539496043	13.40036132	1.211305518	1.230727617	1.093066833	1.080797482	1.780908659	2.504671234	2.897003345	5.221309989	3.14854263	5.343483242	3.946970156	4.55555758	4.352605686	3.38014837	4.191378704	3.650786066	4.316536449	3.115643402	5.11449674	4.098825606	4.099445685	3.972297609	3.802328157	4.445659207
gd-T	0.471689302	0.508951134	0.589829828	0.567255109	0.495248293	0.480918399	0.740223464	0.56493003	0.454164412	0.514041652	0.343068796	0.318905731	0.470711297	0.305008342	0.434071099	0.216735552	0.450949747	0.157464504	0.803792058	0.745783943	0.634701921	0.828703268	0.685126664	0.709851041	0.728635512	0.673143573	0.467993032	0.591113537	0.703062031	0.771388995	0.713004076	0.665701325	0.504571571
gd+CD44posCD62Lneg(% )	29.9	20.3	23.8	33	14.9	25.2	15.1	21	17.5	30.9	30.5	31.9	24.6	23.5	19.7	26.3	26.9	32	13.4	12.6	10.2	9.5	11.2	12.2	11.7	9.1	8.8	10.9	9.1	13.4	17.2	9.2	9.2
gd+CD44negCD62L+ (% )	44.7	39.6	42.6	38.5	33.2	52.5	40.7	47.9	52.4	43.9	44.6	39.2	42.3	44.7	47.7	39.1	43.5	39.8	36.8	45.5	38.6	36.9	37.3	33	42.3	29.2	40.3	35.4	36.5	36.6	40.1	36.8	41.9
Late gd (% )	79.2	83.2	79.3	75.3	59.3	63	58.5	66.9	62.4	81.4	82.3	84.4	79.5	85.1	84.2	74.3	66.7	74.6	82.3	82.8	81.7	87.6	89.4	85.3	86.7	82.4	87.5	84.7	88.2	86.5	86.6	90.6	85.8
Early gd (% )	20.2	19.8	21	23.7	39	34.3	46.3	32.7	38.2	17.5	14.5	12.2	11.5	11.1	14.4	19.2	20.7	23.3	16.1	15.7	16.1	11.1	9.4	12.8	11.7	16.2	11.3	13.4	10.6	12.1	11.1	8.5	12.4
gd+Ly6C+ (% )	35.8	41.3	40.2	37	31.1	56.8	22.6	45.4	51.6	37.9	44.7	33.1	41.2	51.7	51.3	52.8	45.4	48.3	45.4	41.7	35.8	41.4	39.8	36.2	36	36	38.6	40.3	39.3	40.3	37.2	46.2	35.2
NKT (%)	1.372102146	1.843613197	1.115656845	2.312194186	1.164502744	2.488364877	1.047486034	1.942916221	2.953129808	0.973277394	0.490315138	0.628205867	0.652389342	0.539472529	1.910377085	0.958444157	1.256145011	0.816913167	0.693449374	0.495488181	0.631497512	0.728012923	0.5411076	0.349616599	0.329339617	0.447403245	0.445460034	0.546905613	0.607830776	0.612729509	0.71803187	0.517696507	0.521559659
NKT CD27+  (%)	1.024960303	1.071139268	0.745258772	1.706399309	1.037571945	1.378554142	0.879888268	1.293982203	1.399783529	0.525569792	0.382445807	0.513244193	0.619117485	0.423485935	1.679221458	0.720750006	0.906936698	0.406822757	0.660163804	0.479632559	0.616341572	0.706172535	0.503230068	0.331786153	0.325387542	0.438902583	0.428978013	0.300251181	0.59567416	0.568000254	0.700081073	0.509931059	0.280077537
iNKT 	0.467953149	0.985870378	0.499472918	1.195673031	0.568866283	1.309339125	0.432960894	1.132813942	1.827268965	0.591525872	0.195822454	0.155610628	0.195441533	0.129379738	0.465988092	0.30164626	0.427215549	0.47926277	0.180589012	0.11366536	0.118563143	0.131356229	0.112935813	0.081467811	0.064278008	0.10119394	0.099376298	0.317828185	0.147103028	0.150178801	0.177543985	0.129424127	0.287022622
iNKTCD44+CD62Lneg (% )	55.9	63.2	81.5	93.3	87.5	87	94.7	85.8	32.5	89.5	86	73.8	52.2	66.7	89.6	79.1	68.3	72.5	21.5	42.8	47.3	49.3	49.1	37	50	38.8	46.2	64.6	31.4	41.2	66.1	47.6	60.9
iNKTCD44-CD62L+ (% )	39.8	36.8	18.5	6.4	4.7	13	5.3	13.1	65.4	9.2	14	19	41.7	32.7	9.9	19	30.4	24.4	77.9	55	50.4	50.7	50.2	62.7	50	61.2	53.2	32	66.2	57.1	32.9	50.8	35.6
nNKT	0.904148998	0.85774282	0.616183927	1.116521155	0.595636461	1.179025752	0.61452514	0.810102278	1.125860843	0.381751521	0.294492683	0.472595239	0.456947809	0.41009279	1.444388993	0.656797897	0.828929461	0.337650397	0.512860362	0.381822821	0.512934369	0.596656694	0.428171787	0.268148789	0.265061609	0.346209305	0.346083736	0.229077428	0.460727748	0.462550707	0.540487885	0.38827238	0.234537037
nKTCD44+CD62Lneg (% )	29.3	28.2	29.5	52.7	36	38.4	43.2	37.7	17.6	42.6	46.4	54.1	33.7	28.8	31.1	29.3	18	38.2	13.5	22.4	20.1	21.3	25.5	21.9	22.1	16.5	23	31.4	21.2	23.4	38.5	18	25.5
nNKTCD44-CD62Lpos (% )	69.7	67.2	68	46.5	62.9	61.1	52.3	60.5	81.1	55	52.6	43.5	64.2	70.1	67.6	70.4	80.6	58.4	84.2	74.5	76.4	76.6	70.5	75.9	75.7	80.7	72.5	63.5	75.3	74.6	58.5	79	70.1
NKT Ly6C (% )	69.1	66.1	66.8	53.1	43.9	45.5	34.9	55.2	61.2	51.4	55.6	37.5	31.1	63.8	71.2	66.8	60.1	61.5	47.6	49	44.9	46.7	52.9	48.7	42.4	42.7	40.4	17.3	48.5	44.5	39.9	52.6	34.9
