YORF	NAME	GWEIGHT	GenBank	Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10
B3	B3	1	AA872057	2.296296997	2.028035939	2.315904589	2.328066633	1.50734407	1.896646332	2.036479426	1.841477745	1.942543786	1.801611295
B4	B4	1	AI368402	2.333940168	1.713599154	1.794415903	2.374339476	2.15053936	2.197383643	1.749512292	2.303549544	2.154061662	2.156814171
B5	B5	1	AA043347	1.577118215	2.43610045	1.9468336	2.101338638	2.091464828	1.755442376	1.631702837	2.365551762	2.460667949	1.640741713
B6	B6	1	H97175	1.641178103	2.256964946	2.168777652	2.457082693	2.085031579	2.176121722	1.853729024	1.621511005	1.517599467	2.29627281
B7	B7	1	AA600189	1.9231223	2.351539635	1.509871964	2.217538203	2.22587911	2.160411323	1.914921846	2.475391402	1.963960867	1.568983508
B8	B8	1	AA489331	2.132205574	2.041079082	1.505083958	1.579039173	1.64241772	2.096548786	1.834481549	1.774120556	1.962100548	1.795149498
B9	B9	1	W69791	1.914862269	2.103278651	1.552114444	1.583639921	2.060361343	2.137146023	2.259761643	2.414090367	2.258657028	2.27736111
B10	B10	1	N45141	2.210363177	1.681779328	2.128900745	2.220235141	2.399317531	1.854779856	1.880646463	1.814239377	1.830171258	2.34460733
B11	B11	1	AA609785	1.883222884	2.462376832	1.885686412	1.888306842	1.541416005	2.028104132	2.484855628	1.875897554	2.302224688	1.946956176
B12	B12	1	AA148045	2.171047052	1.717086957	1.550234826	2.223161496	1.800726878	2.11059617	1.860307519	1.560488521	2.024686537	1.618964547
B13	B13	1	AA463976	2.337849631	1.735049713	1.800743875	1.966750376	2.455284854	1.700061406	2.321530232	1.835931317	2.014300782	1.651701489
B14	B14	1	AI382422	1.680538648	2.397523666	1.614078321	2.06622506	1.785830508	1.655494325	1.594329192	1.770686137	2.031391879	2.39655388
B15	B15	1	H64280	2.217642312	1.702438931	1.613640836	2.267877139	2.425600427	1.914367714	1.878473308	1.785907946	1.974856235	2.403159845
B16	B16	1	AA704471	1.904872492	1.812705866	1.638209558	2.205616368	2.279456242	1.593494412	2.405677773	2.100986473	1.929425729	1.919978555
B17	B17	1	AA772803	2.252687963	2.109964377	1.817502221	2.366766284	1.676189437	2.10333273	1.522260609	1.770518628	2.374018866	2.053652488
B18	B18	1	AA481255	1.667072508	2.091661179	2.256091419	1.780713344	1.859538317	2.181691845	2.195081058	2.238011625	2.467599791	1.669937293
B19	B19	1	N72488	2.141171469	1.872472283	1.982643158	2.279381027	1.57808865	1.762099399	2.372875439	2.483766423	2.363085872	1.802301168
B20	B20	1	R00103	1.903744978	2.115773835	2.412265545	2.221247199	1.982540119	1.588454981	1.824579929	2.004800728	1.85897361	1.698598795
B21	B21	1	AA448280	1.558453216	2.026046118	2.290259973	2.314544634	2.306759462	1.64979829	1.996236479	2.00184052	2.387809915	1.96383627
B22	B22	1	T83098	2.171777812	2.028981384	2.336308553	1.65442097	1.808362411	2.414397203	1.916520369	1.68123785	2.398163626	1.779606242
B23	B23	1	AA019320	1.983539019	1.801908604	2.395380077	1.895804564	1.523155803	1.877920196	1.984259545	1.847735732	2.382720924	2.343233155
B24	B24	1	AA461325	2.046334527	2.441174139	1.869279272	1.836594499	2.255718773	1.676038734	1.986392789	1.751955253	2.177879254	1.874202703
B25	B25	1	AA668230	2.215791523	1.849657067	2.403184087	2.052100075	2.004078037	1.711546498	1.966497278	2.420598406	1.892784348	1.864660905
B26	B26	1	AA700054	1.700204648	2.376323367	2.166569509	1.595584725	1.77212793	2.189725312	1.97350492	2.256387475	1.537461043	1.856225844
B27	B27	1	N93428	2.099620629	2.08379557	1.797399982	2.468899901	2.420390069	1.553118755	1.644938636	1.906782858	1.805074008	2.32281789
B28	B28	1	AA682469	2.280985561	1.52086553	1.672474956	2.184169648	2.072965605	2.176552992	2.395716146	1.539462883	2.097151398	1.788500494
B29	B29	1	AA708155	1.904123788	2.297356045	1.66482386	1.570693296	2.39294077	1.93695179	2.260418608	1.86644569	1.693339265	2.297879652
B30	B30	1	AI420743	2.222671533	2.292959895	1.881675221	1.520071515	2.261859796	1.80206529	1.57319027	2.406798431	2.208848148	1.878264278
B31	B31	1	H63124	2.229616321	1.989833708	1.899129807	2.402091276	1.674003356	2.472095413	2.078644269	1.569719501	1.511558296	1.675795667
B32	B32	1	AA007395	1.858219995	1.915682083	2.473151712	2.023043855	1.98637538	2.366092482	2.459995646	1.746793988	1.732538172	1.653334911
B33	B33	1	AA453859	1.544673639	2.455209705	2.446294805	1.92634886	2.475281219	2.208154601	2.22841415	1.54847149	2.114953032	1.937262298
B34	B34	1	H68509	1.926735768	1.844569352	2.427096006	2.325865575	1.746660628	1.601099362	2.297960987	2.325304897	1.670818863	2.309519283
B35	B35	1	AI244615	1.501100564	2.029038857	1.725201366	2.474252276	1.552082712	2.211576746	2.340344757	1.512078358	2.458370734	1.572882929
B36	B36	1	R12473	1.665413269	1.503044374	1.528092633	1.611708074	1.929393234	1.503373852	2.319862674	1.657807384	1.551845342	1.934815706
B37	B37	1	AA446120	2.095069682	1.97858111	2.279385058	2.022165688	1.804446685	1.526045686	2.123265049	1.602407672	2.351350583	2.294083911
B38	B38	1	AI094603	2.411926955	2.352451147	1.823122769	1.637128321	2.326703423	1.875205481	2.348705068	2.16704818	1.887283839	2.307075802
B39	B39	1	H21045	2.239931108	2.052697108	2.310120176	2.268023741	2.164405181	1.739513409	2.271397594	1.984267856	1.897320793	2.323242936
B40	B40	1	N57553	2.419083561	2.492390475	1.801824046	2.198468619	2.014556163	2.10627073	2.224514305	1.637821212	2.208678402	2.075864888
B41	B41	1	AA055350	2.431905123	2.120605357	1.928316035	1.755027892	2.257733678	1.755019458	2.130233373	2.106438745	2.422067637	1.517517212
B42	B42	1	AA863086	1.913514547	2.161998746	2.070214319	1.723634723	1.930022487	1.7346195	1.963148132	1.701420081	2.218887356	2.360468925
B43	B43	1	AA418675	1.524663017	2.137970916	2.352859401	1.826487062	1.836439535	1.867415563	2.432757793	1.56095384	2.005236775	2.141436195
B44	B44	1	H09924	2.136818728	1.937141898	1.762041551	1.565134763	2.19216979	1.519775229	1.82015422	1.822403163	2.126213974	1.742221857
B45	B45	1	AA478959	1.839920375	1.539728521	2.404220603	2.410134694	1.763363244	1.83424309	1.644754194	2.226511375	2.035663171	2.363641549
B46	B46	1	AI457674	2.0869803	2.060326188	2.001612465	1.939839701	2.38681325	2.338052001	2.307255264	2.319571043	2.399005841	1.812492039
B47	B47	1	AI566163	1.961007237	2.035824569	2.249633937	2.223048788	2.100959332	1.941803727	2.242824017	2.421113553	2.26420689	1.86903799
B48	B48	1	T48692	1.66333541	1.604127264	1.908766511	1.567556013	1.514261957	2.172129754	1.901799103	1.659016151	1.898641129	2.437462274
B49	B49	1	AA887330	1.5226577	2.48562143	1.997788461	2.024270165	1.925461131	1.884601711	1.862322166	1.732716395	1.704172754	1.761328007
B50	B50	1	H90431	2.045208433	2.165179991	2.297152576	1.79484237	1.888228779	1.898111907	2.236646097	1.631052795	1.81922546	2.000852987
C1	C1	1	AI276134	-1.999909215	-2.017439131	-1.89501975	-1.591142704	-1.949883118	-1.880757792	-1.919012949	-1.548084015	-1.721741641	-1.52037182
C2	C2	1	R88246	-1.610621742	-1.699083942	-1.53475039	-2.112833281	-2.174813777	-2.10928926	-1.72823157	-1.812491611	-1.876572865	-1.524058816
C3	C3	1	H15250	-1.551163605	-2.331364432	-1.858878826	-1.754011029	-2.036522062	-2.470650047	-2.355899122	-2.299875965	-2.339597252	-2.036673663
C4	C4	1	AA279133	-1.799022979	-1.839506467	-1.554112793	-2.194042728	-1.930649171	-2.003995911	-1.574800521	-2.34966212	-2.052079927	-1.796542162
C5	C5	1	AA456400	-2.37003394	-2.162701669	-1.995626104	-2.40478433	-1.77553495	-1.670439881	-2.01407359	-2.00376652	-1.982931492	-2.390646455
C6	C6	1	AA431414	-2.027825337	-2.034095097	-2.222010887	-2.386704163	-2.288106127	-1.758532949	-2.35735421	-2.144005249	-1.558408915	-2.196951462
C7	C7	1	AA913846	-1.680678912	-1.857431893	-1.53645793	-1.734791705	-1.551474622	-1.967107101	-2.238787617	-1.626275142	-1.816769221	-1.790867544
C8	C8	1	AA862722	-1.922817304	-1.686803162	-2.453569213	-2.418443409	-1.591587492	-1.729104164	-1.58888329	-2.105661082	-2.232870684	-2.071814782
C9	C9	1	AA994666	-1.996307537	-1.760696021	-1.60590988	-1.718318425	-1.647400184	-2.394016007	-1.976851374	-1.504754394	-2.038021257	-2.035260289
C10	C10	1	H41489	-2.201705857	-2.218700169	-2.392692182	-2.238163787	-2.453491875	-2.444166804	-1.705270888	-2.192279492	-1.570441946	-2.02204011
C11	C11	1	N72918	-2.483147036	-1.993259251	-2.208843272	-2.436716249	-1.911702659	-2.300430764	-1.665820412	-2.00058595	-1.906091846	-2.398691097
C12	C12	1	H17960	-1.572400732	-2.402399384	-1.659387118	-1.678310612	-1.620717809	-1.806787302	-1.57232662	-2.097569183	-1.811541697	-2.110347877
C13	C13	1	W07300	-1.632829473	-1.513247554	-1.829048046	-1.525521655	-2.251411341	-1.78253992	-2.469688459	-2.456682229	-2.474819412	-1.540130405
C14	C14	1	N66443	-1.978722339	-2.457966448	-2.033389656	-1.687565611	-2.394682697	-2.445092315	-2.487996375	-1.56050311	-1.945678265	-1.894088221
C15	C15	1	AA490684	-2.459194207	-2.018078997	-1.796487605	-1.618581325	-2.196389609	-1.917205414	-1.925368627	-2.26871623	-1.514774598	-2.236910324
C16	C16	1	AA490684	-1.879064106	-1.647604071	-2.250157878	-2.208112152	-1.673125726	-2.00156922	-2.490652073	-1.642814185	-1.958251449	-2.465471485
C17	C17	1	AA485742	-1.682944591	-2.436973789	-2.423437933	-2.216334247	-1.6245394	-2.318120631	-2.161426563	-1.612535775	-2.378623741	-1.607104828
C18	C18	1	AA960912	-2.006623997	-2.337817947	-2.125183825	-2.303111602	-2.456399272	-1.821573435	-1.720317017	-1.881767899	-1.590289664	-1.735091615
C19	C19	1	AA780055	-1.618678224	-1.969353771	-1.882695686	-2.368836102	-1.677465923	-2.055821412	-1.870405322	-1.668117996	-2.198635598	-2.328656772
C20	C20	1	AA923402	-1.633589481	-2.381580189	-2.26563056	-1.557027415	-2.097914436	-2.390169961	-2.375148046	-1.759340999	-1.502705736	-2.253771787
C21	C21	1	T56880	-1.866445827	-2.009329733	-2.091589734	-2.491629652	-1.812441336	-2.047989006	-1.813203087	-2.032758352	-2.429756906	-1.903492752
C22	C22	1	T59043	-2.267849967	-1.54843513	-2.372846522	-1.650545653	-2.417271232	-1.550312445	-2.206367066	-1.787676554	-1.718430442	-1.905002664
C23	C23	1	N51521	-1.616333326	-1.852019923	-1.786582853	-2.381963886	-1.909047338	-2.38449729	-2.272133847	-1.784195384	-1.643838289	-2.274839584
C24	C24	1	W74536	-1.537967171	-2.010284116	-1.784169317	-2.129556905	-2.001913769	-2.096610652	-1.677545912	-2.315116856	-1.629369005	-1.607302818
C25	C25	1	AA668425	-1.718609608	-2.397218972	-1.655737947	-1.591456131	-1.547764625	-1.573009179	-1.641768577	-2.254131692	-1.860685734	-1.860199018
C26	C26	1	R70685	-1.659134355	-1.977019059	-2.212218942	-1.945717209	-1.858982946	-1.62126628	-1.830214499	-1.631116793	-1.905461664	-1.974052788
C27	C27	1	AI359985	-2.405956377	-1.943428836	-2.484336905	-1.690125694	-1.572985741	-1.986250674	-2.286736347	-1.750531653	-1.801367531	-2.416105351
C28	C28	1	H66116	-1.857834471	-2.019977139	-2.313324324	-2.013572418	-2.11143327	-2.361088949	-2.086581598	-2.253201846	-2.115220641	-2.447267331
C29	C29	1	R58969	-1.613400865	-2.274354997	-1.924286391	-2.325619807	-1.720072206	-2.283269337	-2.446886086	-2.050286705	-2.41438613	-1.852347751
C30	C30	1	H73644	-1.524339493	-2.320342508	-2.295776587	-1.508676398	-1.510468202	-2.368762328	-1.994927072	-2.297204548	-1.619293981	-2.296294603
C31	C31	1	N57872	-2.2133099	-1.977128452	-1.816271742	-2.026634224	-2.490700871	-2.427705012	-1.887723173	-2.077282468	-2.180906859	-1.502943815
C32	C32	1	T73739	-2.0245498	-2.294307724	-2.277298811	-2.448836191	-2.11992753	-2.497371017	-2.232105528	-2.066813617	-2.047657722	-2.146491658
C33	C33	1	AI681514	-2.419161368	-2.071997215	-1.966834166	-2.214937955	-2.080673613	-1.977302368	-2.083700283	-1.575600686	-1.774506916	-2.202994265
C34	C34	1	AA485626	-2.371895289	-2.487816817	-1.680122717	-1.688167032	-2.014451041	-1.670823588	-1.615872044	-2.402174215	-2.248106056	-2.296778903
C35	C35	1	AA181307	-2.40511803	-1.772655856	-2.091086627	-2.182416841	-1.721492047	-1.711014158	-2.179787858	-2.453597575	-2.277827775	-1.72744558
C36	C36	1	W69954	-2.100089233	-2.196989143	-2.299442794	-1.566923399	-1.911927098	-1.880116407	-2.044225767	-2.495627381	-1.955717093	-2.318732684
C37	C37	1	AI337422	-2.198621646	-1.827612382	-2.3065495	-2.378744363	-2.015779414	-1.821000542	-1.549567951	-2.131651459	-1.723174756	-2.297674008
C38	C38	1	AA775325	-1.928430362	-1.628292786	-1.570329865	-1.519516989	-2.310709627	-1.791821912	-1.730531147	-1.990497485	-1.745419487	-1.508358921
C39	C39	1	W23690	-2.217943064	-2.345508721	-2.205348064	-2.017385859	-2.41243212	-1.617275162	-2.397502266	-1.956657887	-1.612902544	-1.85321936
C40	C40	1	H09730	-1.775390571	-2.31152419	-2.180831742	-1.581940071	-2.190268553	-1.696611157	-1.902940612	-2.239836505	-2.328262615	-2.126115369
C41	C41	1	W77811	-2.037510513	-1.756692978	-2.254408155	-2.107840378	-1.776209967	-2.065117782	-2.39966229	-2.006741114	-1.555615266	-1.645081778
C42	C42	1	AA457097	-2.015100035	-2.273558331	-2.490590498	-1.7204481	-1.79094419	-2.403022618	-1.837723262	-1.688446456	-1.859680505	-1.950625806
C43	C43	1	AA680099	-2.041665816	-2.135071076	-1.762149996	-1.722497558	-2.217011147	-2.452418549	-1.919108714	-1.619951759	-2.192255055	-1.74737133
C44	C44	1	AA916780	-2.246067128	-1.729765568	-2.004064308	-2.000475283	-2.337605946	-2.280274275	-1.565593065	-2.237268236	-1.787015389	-1.621208331
C45	C45	1	AA777799	-2.382350014	-2.302115424	-2.394766662	-2.372940512	-1.522563524	-1.685710852	-2.27596313	-1.860286787	-1.874157308	-1.635643636
C46	C46	1	AA453691	-2.310912593	-2.415823124	-2.270714711	-1.573062589	-1.638320682	-1.987725858	-1.525481138	-2.057429397	-2.107677618	-2.217736193
C47	C47	1	AA699919	-2.304800726	-1.853744746	-2.447501761	-1.808865034	-2.354220029	-2.285107708	-1.589139309	-2.419813093	-2.022375944	-1.876154698
C48	C48	1	AA410346	-1.541021425	-1.904725958	-1.678270122	-2.435788087	-1.777666471	-1.700833647	-1.621498939	-1.553629601	-2.061120433	-1.995656247
C49	C49	1	AA156749	-1.689273237	-1.872033026	-1.911479371	-2.459987949	-1.945095615	-2.049800053	-1.947713807	-1.970576753	-1.607229449	-1.555391425
C50	C50	1	H19234	-1.688312947	-2.412030176	-1.909136171	-1.635814709	-1.720895211	-1.763356199	-2.420922416	-1.81003452	-1.683169293	-1.943298361
D1	D1	1	R13558	1.813810782	2.775809282	2.651975681	2.13554066	2.340021195	1.87430921	1.434707013	1.718522256	2.320679609	2.37358658
D2	D2	1	AA664101	1.722866009	2.631406371	2.501553554	2.811386638	2.171418423	1.556457939	0.761586585	1.223704616	1.585881185	2.154357135
D3	D3	1	AI337368	1.668313191	2.897568238	2.742326959	2.75917702	2.26175353	1.021431748	0.995820821	1.840831113	2.211397228	2.312651528
D4	D4	1	AA918490	1.897532752	2.02520801	2.58846081	2.549508433	1.66074867	1.928482006	0.923817643	1.095455683	2.147004262	2.244497252
D5	D5	1	AA702358	1.969042263	2.869870271	3.375903624	2.470595817	2.181256909	1.547322046	0.527053756	1.942843494	2.271026662	2.112934941
D6	D6	1	AA455235	1.597200629	2.939339852	2.510503179	2.339527588	2.198516872	1.772256709	0.860959337	1.194337693	2.113087822	2.072356565
D7	D7	1	AA443630	2.006989221	2.010620574	2.597564575	2.595450032	2.060129007	1.258313245	1.023932037	1.983946651	1.853768928	2.170936299
D8	D8	1	AA633569	1.728443902	2.822811192	2.540806571	2.104347526	1.793407009	1.722063479	1.151669572	1.320460765	2.164906973	2.422696233
D9	D9	1	AA775241	1.933395706	2.762107602	2.862036085	2.443898886	1.60163519	1.060552957	0.716155594	1.462594527	1.75489065	2.829243416
D10	D10	1	AA977417	2.034951091	2.761879871	3.33986399	2.632515667	1.857329902	1.399992998	1.390828912	1.88126194	1.883939649	2.24459784
D11	D11	1	T98253	1.552198239	2.612383551	2.567409032	2.093004809	2.216731077	1.360816041	1.315068288	1.368400649	2.181276805	2.479975261
D12	D12	1	H72098	2.291096882	2.114672511	2.742082864	2.153132967	2.058571396	1.343718054	0.713685924	1.774726991	2.30631258	2.468576574
D13	D13	1	T77281	2.103970407	2.341263671	2.730456445	2.443834397	2.473779338	1.587786348	1.343827395	1.864608249	1.969048287	2.227767043
D14	D14	1	AA701963	1.609206089	2.521246525	3.340150594	2.176615121	2.114251335	1.55688167	1.037431161	1.429319623	2.425282319	2.218707966
D15	D15	1	H51574	2.409294884	2.716379201	2.833380477	2.151377747	2.369512168	1.891951873	0.995095801	1.083198092	2.166678864	2.301408381
D16	D16	1	AA994866	2.051774666	2.27064927	3.142672053	2.782231111	2.214483667	1.61645139	0.870017459	1.558311062	1.981059639	2.839065745
D17	D17	1	H02307	2.286078105	2.590265729	2.860312271	2.626228699	2.266880849	1.974563605	0.683110369	1.30431201	1.903883228	2.108392688
D18	D18	1	T49652	2.023019976	2.313178112	3.324771889	2.856400453	1.964555859	1.694284056	1.248352326	1.95965166	2.277482148	2.415031189
D19	D19	1	AI474406	1.761060041	2.329256814	3.185680459	2.903732094	1.611487925	1.400164126	1.020183484	1.481505383	2.458475187	2.001243123
D20	D20	1	AA190871	1.820571128	2.744553292	3.091508851	2.680883399	1.870781991	1.3583897	1.155447004	1.55389236	2.16270171	2.059330232
D21	D21	1	AA873885	2.162285048	2.185721686	2.872508344	2.487056936	1.542122138	1.837064203	0.681340992	1.790474464	2.296715863	2.958823139
D22	D22	1	AA504772	1.705505652	2.057775904	2.788079953	2.891186111	2.461507997	1.399567877	0.791350237	1.481691481	2.38107326	2.249825425
D23	D23	1	R82299	1.982934603	2.201644388	3.494378717	2.074443454	2.382527788	1.365160707	0.932833154	1.537974792	2.419053067	2.095534863
D24	D24	1	AA479243	2.097305024	2.581338114	2.781256549	2.969813367	1.56839505	1.323378687	1.30687757	1.249736041	1.613853151	2.603593433
