<<<<<<< HEAD
Population	Panel	S1	S2	S3	S4	S5	T1	T2	T3	T4	T5
B3	B	49.12	40.78	49.79	50.21	28.43	37.23	41.02	35.84	38.44	34.86
B4	B	50.42	32.8	34.69	51.85	44.4	45.86	33.62	49.37	44.51	44.59
D1	D	35.16	68.49	62.85	43.94	50.63	36.66	27.03	32.91	49.96	51.82
D2	D	33.01	61.96	56.63	70.2	45.05	29.41	16.95	23.35	30.02	44.52
D3	D	31.78	74.52	66.91	67.7	47.96	20.3	19.94	35.82	46.31	49.68
D4	D	37.26	40.71	60.15	58.54	31.62	38.07	18.97	21.37	44.29	47.39
E1	E	31.68	36.66	20.2	26.85	38.57	45.34	82.97	41.43	41.63	25.02
E2	E	47.18	35.83	14.38	21.78	48.86	69.05	68.51	54.37	35.61	34.11
E3	E	34.48	34.78	19.32	38.82	29.39	40.88	86.99	60.51	54.3	34.03
E4	E	40.39	21.5	22.05	20.4	40.82	42.52	65.39	42.33	31.14	34.02
J1	J	54.99	48.61	55.11	24.97	12.02	3.77	1.83	3.17	2.58	2.26
J2	J	42.64	38.45	43.59	19.9	7.77	6.38	2.07	2.55	2.81	3.16
J3	J	46.26	28.51	43.51	19.96	8.57	5.87	3.44	2.98	2.23	2.29
J4	J	31.44	34.72	31.53	15.31	7.66	6.7	2.04	1.98	3	2.99
A1	A	11.86	11.7	8.24	12.13	13.35	13.24	11.23	13	7.61	8.91
A2	A	7.99	10.05	12.78	7.99	7.54	8.56	11.11	11	12.73	13.52
A3	A	11.51	9.42	7.96	7.67	8.14	10.71	13.28	8.62	7.1	7.81
A4	A	7.76	11.92	12.92	9.04	10.22	12.2	8.46	8.12	11.21	9.1
H1	H	3.18	2.23	2.65	4.8	9.03	24.24	56.01	45.34	31.28	53.02
H2	H	3.25	2.23	1.78	4.51	7.22	18	29.82	45.93	30.14	45.66
H3	H	2.04	1.85	3.4	5.01	7.81	18.44	46.96	50.81	36.07	51.71
H4	H	2.1	2.03	2.04	6.31	11.02	20.86	43.26	43.66	33.44	47.85
C1	C	2.5	2.47	2.69	3.32	2.59	2.72	2.64	3.42	3.03	3.49
C2	C	3.27	3.08	3.45	2.31	2.21	2.32	3.02	2.85	2.72	3.48
C3	C	3.41	1.99	2.76	2.96	2.44	1.8	1.95	2.03	1.98	2.44
C4	C	2.87	2.79	3.41	2.19	2.62	2.49	3.36	1.96	2.41	2.88
F1	F	2.75	2.37	1.52	1.48	3.37	4.78	3.6	3.58	2.81	1.4
F2	F	2.67	1.36	1.17	1.79	2.43	3.3	3.8	4.29	1.79	1.71
F3	F	2.97	1.48	1.05	1.42	1.94	2.83	4	3.34	2.13	1.33
F4	F	3.45	2.35	0.89	2.09	1.96	4.79	5.66	2.83	2.42	1.59
G1	G	2.34	4.07	5.03	3.73	2.52	1.3	1.62	1.52	3.13	4.04
G2	G	2.79	3.85	4.72	3.64	2.3	1.55	1.35	2.08	2	3.45
G3	G	3.36	3.33	5.73	2.87	2.52	1.62	1.54	1.94	3.11	4.3
G4	G	2.4	2.91	4.95	4.83	3.07	2.5	0.89	1.99	2.14	4.45
=======
Population	Panel	S1	S2	S3	S4	S5	T1	T2	T3	T4	T5
	Strain	S	S	S	S	S	T	T	T	T	T
	Treat.	a	a	a	b	b	a	a	b	b	b
live cells	LSRII	54	51.5	45.86	46.66	63.41	38.05	45.57	63.41	37.03	43.39
singlets1	LSRII	79.8	88.92	90.73	48.5	60.6	52.11	NA	79.8	49.43	82.45
singlets2	LSRII	99.6	91.9	132.67	78.4	65.63	75.81	96.83	117.43	81.3	94.3
B2 cells	LSRII	25.6	24.73	27.84	29.54	27.91	27.64	29.44	28.87	28.21	32.01
B1 cells	LSRII	1.9	1.93	NA	1.9	1.85	1.86	1.79	1.86	1.91	1.88
others	LSRII	14.2	15.01	16.01	16.9	14.95	15.42	12.26	16.13	14.14	13.73
NK	LSRII	52.2	49.12	35.3	64.23	69.18	68.27	56.71	41.25	64.41	50.55
Myeloid	LSRII	23.5	25.97	23.29	25.07	26.48	19.95	28.1	17.94	23.54	24.22
neutro/granulo	LSRII	29.7	32.83	25.36	23.25	32.59	NA	29.7	25.92	27.35	26.44
Eosino	LSRII	23	24.29	24.38	18.65	20.12	26.81	21.25	20.97	24.86	18.85
mono/macro	LSRII	42.2	41.15	51.48	54.31	36.37	50.61	32.52	41.35	55.66	52.32
Q1	LSRII	22.5	NA	22.5	19.24	25.15	21.15	18.94	21.96	23.83	27.18
Q2	LSRII	4	3.99	4.02	4.37	4.37	4.29	4.07	4.36	3.59	3.88
Q3	LSRII	47.4	52.87	61.44	62.45	35.03	59.53	35.61	52.12	46.07	59.39
Q4	LSRII	26.1	22.96	29.46	26.97	22.54	13.08	11.37	12.57	12.35	12.28
CD5+	LSRII	53.2	58.35	43.47	59.05	58.7	51.61	54.27	68.44	46.6	56.17
ab T cells	LSRII	89.1	90.42	73.92	54.24	65.91	59.18	85.6	77.05	108.84	53.14
CD4 T	LSRII	57.3	56.04	54.44	63.9	52.74	76.99	56.86	77.02	71.17	54.87
T reg	LSRII	6.7	6.89	6.59	7.44	6.25	6.44	6.03	7.3	7.54	6.29
CD4 eff	LSRII	23.7	26.09	27.1	22.76	25.71	27.48	27.61	19.05	20.34	23.21
CD4 naive	LSRII	72.2	78.13	87.62	96.77	48.73	87.69	62.65	63.03	80.02	48.22
CD8 T	LSRII	38.2	40.02	34.1	42.7	48.11	44.57	41.71	37.4	48.09	30.25
CD8 eff	LSRII	4.8	4.7	4.5	5	4.86	2.25	2.28	2.35	2.27	2.35
CD8 naive	LSRII	89.7	107.53	56.08	122.81	102.38	114.6	107.76	123.53	136.33	48.93
DC	LSRII	4.1	3.92	4.15	4.43	4.2	4.05	4.08	4.23	3.81	4.38
lymphoDC	LSRII	10.6	10.54	9.96	9.95	9.11	11.57	11.43	9.95	10.01	11.65
myeloDC	LSRII	84.1	97.39	49.38	109.32	89.89	51.47	104.36	89.11	102.77	113.43
gd T cells	LSRII	5.2	5.33	5.64	4.67	5.01	5.73	4.84	4.85	5.67	5.22
gd T eff mem	LSRII	15.6	15.36	16.96	13.53	13.2	14.12	15.71	15.04	18.5	12.76
gd T eff	LSRII	39.3	39.4	29.29	37.38	36.35	30.61	50.14	48.1	42.95	40.86
gd T naive	LSRII	31	33.17	35.94	31.62	32.76	29.92	26.38	32.32	38.23	27.69
B1	B	48.27	56.29	29.09	38.29	37.4	36.68	31.45	54.9	37.51	34.19
B2	B	34.39	48.91	40.68	44.55	49.54	40.85	34.2	46.11	28.46	34.24
B3	B	49.12	40.78	49.79	50.21	28.43	37.23	41.02	35.84	38.44	34.86
B4	B	50.42	32.8	34.69	51.85	44.4	45.86	33.62	49.37	44.51	44.59
D1	D	35.16	68.49	62.85	43.94	50.63	36.66	27.03	32.91	49.96	51.82
D2	D	33.01	61.96	56.63	70.2	45.05	29.41	16.95	23.35	30.02	44.52
D3	D	31.78	74.52	66.91	67.7	47.96	20.3	19.94	35.82	46.31	49.68
D4	D	37.26	40.71	60.15	58.54	31.62	38.07	18.97	21.37	44.29	47.39
E1	E	31.68	36.66	20.2	26.85	38.57	45.34	82.97	41.43	41.63	25.02
E2	E	47.18	35.83	14.38	21.78	48.86	69.05	68.51	54.37	35.61	34.11
E3	E	34.48	34.78	19.32	38.82	29.39	40.88	86.99	60.51	54.3	34.03
E4	E	40.39	21.5	22.05	20.4	40.82	42.52	65.39	42.33	31.14	34.02
J1	J	54.99	48.61	55.11	24.97	12.02	3.77	1.83	3.17	2.58	2.26
J2	J	42.64	38.45	43.59	19.9	7.77	6.38	2.07	2.55	2.81	3.16
J3	J	46.26	28.51	43.51	19.96	8.57	5.87	3.44	2.98	2.23	2.29
J4	J	31.44	34.72	31.53	15.31	7.66	6.7	2.04	1.98	3	2.99
A1	A	11.86	11.7	8.24	12.13	13.35	13.24	11.23	13	7.61	8.91
A2	A	7.99	10.05	12.78	7.99	7.54	8.56	11.11	11	12.73	13.52
A3	A	11.51	9.42	7.96	7.67	8.14	10.71	13.28	8.62	7.1	7.81
A4	A	7.76	11.92	12.92	9.04	10.22	12.2	8.46	8.12	11.21	9.1
H1	H	3.18	2.23	2.65	4.8	9.03	24.24	56.01	45.34	31.28	53.02
H2	H	3.25	2.23	1.78	4.51	7.22	18	29.82	45.93	30.14	45.66
H3	H	2.04	1.85	3.4	5.01	7.81	18.44	46.96	50.81	36.07	51.71
H4	H	2.1	2.03	2.04	6.31	11.02	20.86	43.26	43.66	33.44	47.85
C1	C	2.5	2.47	2.69	3.32	2.59	2.72	2.64	3.42	3.03	3.49
C2	C	3.27	3.08	3.45	2.31	2.21	2.32	3.02	2.85	2.72	3.48
C3	C	3.41	1.99	2.76	2.96	2.44	1.8	1.95	2.03	1.98	2.44
C4	C	2.87	2.79	3.41	2.19	2.62	2.49	3.36	1.96	2.41	2.88
F1	F	2.75	2.37	1.52	1.48	3.37	4.78	3.6	3.58	2.81	1.4
F2	F	2.67	1.36	1.17	1.79	2.43	3.3	3.8	4.29	1.79	1.71
F3	F	2.97	1.48	1.05	1.42	1.94	2.83	4	3.34	2.13	1.33
F4	F	3.45	2.35	0.89	2.09	1.96	4.79	5.66	2.83	2.42	1.59
G1	G	2.34	4.07	5.03	3.73	2.52	1.3	1.62	1.52	3.13	4.04
G2	G	2.79	3.85	4.72	3.64	2.3	1.55	1.35	2.08	2	3.45
G3	G	3.36	3.33	5.73	2.87	2.52	1.62	1.54	1.94	3.11	4.3
G4	G	2.4	2.91	4.95	4.83	3.07	2.5	0.89	1.99	2.14	4.45
>>>>>>> 736a5873798b8ec15e4b0f191a5376f0d1c6ff40
