Id	Module	Sample_1a	Sample_1b	Sample_1c	Sample_2a	Sample_2b	Sample_2c	Sample_3a	Sample_3b	Sample_3c	Sample_4a	Sample_4b	Sample_5a	Sample_5b	Sample_6a	Sample_6b	Sample_7a	Sample_7b	Sample_7c	Sample_8a	Sample_8b	Sample_8c	Sample_9a	Sample_9b	Sample_9c	Sample_10a	Sample_10b	Sample_10c
A09	A	0.464	0.181	0.312	0.430	0.399	0.424	-0.234	0.099	-0.187	0.390	0.338	0.205	0.322	0.188	0.357	-0.482	-0.352	0.013	-0.421	-0.162	-0.316	-0.481	-0.454	0.461	-0.068	0.373	-0.448
A10	A	-0.039	-0.085	-0.427	-0.006	-0.291	-0.323	0.480	-0.360	0.083	0.095	0.320	0.339	0.413	0.382	-0.022	-0.238	0.455	-0.225	0.470	-0.379	0.133	-0.458	-0.301	-0.408	-0.372	0.379	-0.472
B01	B	2.271	1.883	1.558	2.493	2.462	2.026	1.540	1.886	2.290	1.937	1.888	1.903	1.541	1.875	2.028	1.653	2.485	1.996	2.457	1.876	2.002	1.907	2.302	2.388	1.774	1.947	1.964
B02	B	1.782	2.171	2.172	2.290	1.717	2.029	2.024	1.550	2.336	2.155	2.223	2.309	1.801	2.030	2.111	1.774	1.860	1.917	2.205	1.560	1.681	1.509	2.025	2.398	1.776	1.619	1.780
B03	B	2.296	2.338	1.984	2.028	1.735	1.802	2.316	1.801	2.395	2.328	1.967	1.507	2.455	1.897	1.700	2.036	2.322	1.984	1.841	1.836	1.848	1.943	2.014	2.383	1.802	1.652	2.343
B04	B	2.334	1.681	2.046	1.714	2.398	2.441	1.794	1.614	1.869	2.374	2.066	2.151	1.786	2.197	1.655	1.750	1.594	1.986	2.304	1.771	1.752	2.154	2.031	2.178	2.157	2.397	1.874
B05	B	1.577	2.218	2.216	2.436	1.702	1.850	1.947	1.614	2.403	2.101	2.268	2.091	2.426	1.755	1.914	1.632	1.878	1.966	2.366	1.786	2.421	2.461	1.975	1.893	1.641	2.403	1.865
B06	B	1.641	1.905	1.700	2.257	1.813	2.376	2.169	1.638	2.167	2.457	2.206	2.085	2.279	2.176	1.593	1.854	2.406	1.974	1.622	2.101	2.256	1.518	1.929	1.537	2.296	1.920	1.856
B07	B	1.923	2.253	2.100	2.352	2.110	2.084	1.510	1.818	1.797	2.218	2.367	2.226	1.676	2.160	2.103	1.915	1.522	1.645	2.475	1.771	1.907	1.964	2.374	1.805	1.569	2.054	2.323
B08	B	2.132	1.667	2.281	2.041	2.092	1.521	1.505	2.256	1.672	1.579	1.781	1.642	1.860	2.097	2.182	1.834	2.195	2.396	1.774	2.238	1.539	1.962	2.468	2.097	1.795	1.670	1.789
B09	B	1.915	2.141	1.904	2.103	1.872	2.297	1.552	1.983	1.665	1.584	2.279	2.060	1.578	2.137	1.762	2.260	2.373	2.260	2.414	2.484	1.866	2.259	2.363	1.693	2.277	1.802	2.298
B10	B	2.210	1.904	2.223	1.682	2.116	2.293	2.129	2.412	1.882	2.220	2.221	2.399	1.983	1.855	1.588	1.881	1.825	1.573	1.814	2.005	2.407	1.830	1.859	2.209	2.345	1.699	1.878
C01	C	-2.000	-2.483	-1.866	-2.017	-1.993	-2.009	-1.895	-2.209	-2.092	-1.591	-2.437	-1.950	-1.912	-1.881	-2.300	-1.919	-1.666	-1.813	-1.548	-2.001	-2.033	-1.722	-1.906	-2.430	-1.520	-2.399	-1.903
C02	C	-1.611	-1.572	-2.268	-1.699	-2.402	-1.548	-1.535	-1.659	-2.373	-2.113	-1.678	-2.175	-1.621	-2.109	-1.807	-1.728	-1.572	-2.206	-1.812	-2.098	-1.788	-1.877	-1.812	-1.718	-1.524	-2.110	-1.905
C03	C	-1.551	-1.633	-1.616	-2.331	-1.513	-1.852	-1.859	-1.829	-1.787	-1.754	-1.526	-2.037	-2.251	-2.471	-1.783	-2.356	-2.470	-2.272	-2.300	-2.457	-1.784	-2.340	-2.475	-1.644	-2.037	-1.540	-2.275
C04	C	-1.799	-1.979	-1.538	-1.840	-2.458	-2.010	-1.554	-2.033	-1.784	-2.194	-1.688	-1.931	-2.395	-2.004	-2.445	-1.575	-2.488	-1.678	-2.350	-1.561	-2.315	-2.052	-1.946	-1.629	-1.797	-1.894	-1.607
C05	C	-2.370	-2.459	-1.719	-2.163	-2.018	-2.397	-1.996	-1.796	-1.656	-2.405	-1.619	-1.776	-2.196	-1.670	-1.917	-2.014	-1.925	-1.642	-2.004	-2.269	-2.254	-1.983	-1.515	-1.861	-2.391	-2.237	-1.860
C06	C	-2.028	-1.879	-1.659	-2.034	-1.648	-1.977	-2.222	-2.250	-2.212	-2.387	-2.208	-2.288	-1.673	-1.759	-2.002	-2.357	-2.491	-1.830	-2.144	-1.643	-1.631	-1.558	-1.958	-1.905	-2.197	-2.465	-1.974
C07	C	-1.681	-1.683	-2.406	-1.857	-2.437	-1.943	-1.536	-2.423	-2.484	-1.735	-2.216	-1.551	-1.625	-1.967	-2.318	-2.239	-2.161	-2.287	-1.626	-1.613	-1.751	-1.817	-2.379	-1.801	-1.791	-1.607	-2.416
C08	C	-1.923	-2.007	-1.858	-1.687	-2.338	-2.020	-2.454	-2.125	-2.313	-2.418	-2.303	-1.592	-2.456	-1.729	-1.822	-1.589	-1.720	-2.087	-2.106	-1.882	-2.253	-2.233	-1.590	-2.115	-2.072	-1.735	-2.447
C09	C	-1.996	-1.619	-1.613	-1.761	-1.969	-2.274	-1.606	-1.883	-1.924	-1.718	-2.369	-1.647	-1.677	-2.394	-2.056	-1.977	-1.870	-2.447	-1.505	-1.668	-2.050	-2.038	-2.199	-2.414	-2.035	-2.329	-1.852
C10	C	-2.202	-1.634	-1.524	-2.219	-2.382	-2.320	-2.393	-2.266	-2.296	-2.238	-1.557	-2.453	-2.098	-2.444	-2.390	-1.705	-2.375	-1.995	-2.192	-1.759	-2.297	-1.570	-1.503	-1.619	-2.022	-2.254	-2.296
D01	D	1.814	1.552	2.162	2.776	2.612	2.186	2.652	2.567	2.873	2.136	2.093	2.340	2.217	1.874	1.361	1.435	1.315	0.681	1.719	1.368	1.790	2.321	2.181	2.297	2.374	2.480	2.959
D02	D	1.723	2.291	1.706	2.631	2.115	2.058	2.502	2.742	2.788	2.811	2.153	2.171	2.059	1.556	1.344	0.762	0.714	0.791	1.224	1.775	1.482	1.586	2.306	2.381	2.154	2.469	2.250
D03	D	1.668	2.104	1.983	2.898	2.341	2.202	2.742	2.730	3.494	2.759	2.444	2.262	2.474	1.021	1.588	0.996	1.344	0.933	1.841	1.865	1.538	2.211	1.969	2.419	2.313	2.228	2.096
D04	D	1.898	1.609	2.097	2.025	2.521	2.581	2.588	3.340	2.781	2.550	2.177	1.661	2.114	1.928	1.557	0.924	1.037	1.307	1.095	1.429	1.250	2.147	2.425	1.614	2.244	2.219	2.604
D05	D	1.969	2.409	1.709	2.870	2.716	2.319	3.376	2.833	3.161	2.471	2.151	2.181	2.370	1.547	1.892	0.527	0.995	1.396	1.943	1.083	1.502	2.271	2.167	1.605	2.113	2.301	2.777
D06	D	1.597	2.052	2.252	2.939	2.271	2.588	2.511	3.143	3.479	2.340	2.782	2.199	2.214	1.772	1.616	0.861	0.870	0.611	1.194	1.558	1.095	2.113	1.981	1.899	2.072	2.839	2.030
D07	D	2.007	2.286	1.690	2.011	2.590	2.997	2.598	2.860	3.112	2.595	2.626	2.060	2.267	1.258	1.975	1.024	0.683	1.295	1.984	1.304	1.773	1.854	1.904	2.430	2.171	2.108	2.909
D08	D	1.728	2.023	1.877	2.823	2.313	2.138	2.541	3.325	2.728	2.104	2.856	1.793	1.965	1.722	1.694	1.152	1.248	1.161	1.320	1.960	1.531	2.165	2.277	2.441	2.423	2.415	2.766
D09	D	1.933	1.761	1.808	2.762	2.329	2.692	2.862	3.186	2.853	2.444	2.904	1.602	1.611	1.061	1.400	0.716	1.020	0.649	1.463	1.482	1.550	1.755	2.458	1.610	2.829	2.001	2.548
D10	D	2.035	1.821	2.080	2.762	2.745	2.300	3.340	3.092	3.045	2.633	2.681	1.857	1.871	1.400	1.358	1.391	1.155	1.372	1.881	1.554	1.567	1.884	2.163	1.785	2.245	2.059	2.801
E01	E	1.664	1.886	1.523	1.874	1.855	1.846	1.014	0.981	1.342	1.425	1.600	1.947	2.480	2.181	2.499	3.053	3.314	3.035	2.051	2.502	2.683	2.058	2.234	2.371	1.323	1.304	1.047
E02	E	2.238	2.363	1.599	1.841	1.516	1.785	0.524	1.341	1.387	1.123	1.348	2.289	2.146	2.788	2.874	2.776	3.416	3.485	2.443	2.178	2.318	1.832	1.936	1.607	1.770	1.186	1.548
E03	E	1.786	2.209	2.283	1.798	1.466	1.087	0.950	1.426	0.817	1.957	1.754	1.555	1.570	2.031	2.776	3.121	2.840	2.549	2.597	2.777	2.053	2.441	2.324	2.080	1.767	1.678	1.649
E04	E	2.014	2.169	1.970	1.105	1.210	1.603	1.141	1.033	0.995	1.028	1.150	2.029	2.309	2.088	2.513	2.709	3.150	2.848	2.082	2.623	2.304	1.639	1.515	1.669	1.767	1.384	1.219
E05	E	1.905	2.427	1.851	1.877	1.878	1.268	1.108	1.400	0.504	1.428	1.768	1.500	1.726	2.396	2.546	2.716	3.143	2.719	2.276	2.142	2.202	2.339	2.224	2.066	1.549	1.078	1.326
E06	E	1.546	1.829	2.250	1.125	1.433	1.349	0.847	1.045	0.914	1.497	1.255	1.582	1.687	2.402	2.615	3.028	2.531	3.390	2.703	2.527	2.708	2.499	1.892	2.099	1.469	1.855	1.470
E07	E	1.969	1.705	1.857	1.514	1.061	1.069	1.074	0.565	0.573	1.110	1.738	2.042	1.712	2.103	2.874	2.698	2.751	2.838	2.751	2.862	2.729	1.685	1.998	1.645	1.337	1.266	1.507
E08	E	2.017	1.745	2.448	1.590	1.425	1.496	0.714	0.643	1.276	1.125	1.146	1.518	1.693	2.214	2.369	3.022	3.192	2.701	2.234	2.836	2.953	1.990	2.011	1.694	1.361	1.416	1.767
E09	E	2.283	2.414	1.779	1.537	1.840	1.944	0.986	1.349	0.616	1.130	1.459	1.533	1.595	2.568	2.036	3.032	2.574	2.739	2.561	2.125	2.901	1.770	2.064	1.984	1.531	1.466	1.838
E10	E	1.530	2.481	1.871	1.740	1.768	1.841	0.545	1.027	1.408	1.604	1.045	2.350	2.006	2.587	2.739	3.207	3.420	2.785	2.048	2.757	2.032	1.838	2.100	1.519	1.892	1.417	1.431
F01	F	-1.864	-1.714	-2.215	-2.080	-2.987	-2.697	-2.718	-2.898	-2.854	-2.757	-2.845	-1.570	-2.317	-1.066	-1.239	-1.472	-1.411	-0.971	-1.482	-1.713	-1.142	-1.831	-2.434	-2.490	-2.832	-2.306	-2.898
F02	F	-1.906	-2.395	-1.637	-2.874	-2.469	-2.835	-3.100	-3.076	-2.666	-2.483	-2.613	-2.039	-2.097	-1.600	-1.467	-1.396	-1.179	-1.284	-1.219	-1.183	-1.358	-2.485	-2.301	-2.073	-2.546	-2.917	-2.483
F03	F	-1.752	-2.308	-1.550	-2.754	-2.304	-2.511	-3.245	-2.738	-3.334	-2.812	-2.508	-2.365	-1.569	-1.821	-1.633	-1.322	-1.038	-1.163	-1.580	-1.946	-1.385	-2.228	-1.666	-1.635	-2.912	-2.221	-2.129
F04	F	-1.537	-2.256	-2.180	-2.092	-2.379	-2.850	-3.492	-2.708	-3.326	-2.255	-2.153	-2.350	-1.725	-1.062	-1.025	-0.821	-0.892	-0.964	-1.822	-1.135	-1.291	-2.044	-2.238	-2.191	-2.652	-2.327	-2.454
F05	F	-2.154	-1.941	-1.689	-2.951	-2.633	-2.828	-3.026	-3.296	-2.789	-2.254	-2.017	-1.934	-1.746	-1.066	-1.393	-1.354	-0.984	-1.367	-1.330	-1.925	-1.126	-1.785	-2.076	-2.414	-2.839	-2.285	-2.440
F06	F	-2.376	-2.342	-2.110	-2.537	-2.384	-2.964	-3.094	-3.088	-3.452	-2.621	-2.079	-1.849	-2.391	-1.458	-1.657	-0.942	-1.213	-0.986	-1.171	-1.430	-1.728	-1.538	-2.102	-1.543	-2.170	-2.878	-2.621
F07	F	-1.583	-2.151	-2.358	-2.075	-2.358	-2.723	-2.762	-2.757	-2.970	-2.075	-2.859	-1.831	-2.012	-1.112	-1.482	-0.637	-1.384	-0.733	-1.652	-1.904	-1.222	-2.433	-2.118	-2.082	-2.681	-2.622	-2.924
F08	F	-1.804	-1.731	-2.176	-2.587	-2.059	-2.770	-3.132	-2.755	-3.252	-2.831	-2.026	-2.342	-1.576	-1.065	-1.501	-1.396	-0.919	-1.021	-1.695	-1.560	-1.992	-1.895	-1.926	-1.721	-2.181	-2.995	-2.435
F09	F	-2.034	-2.345	-1.933	-2.270	-2.268	-2.830	-3.218	-2.878	-2.899	-2.128	-2.433	-2.391	-1.847	-1.067	-1.270	-1.086	-0.590	-0.543	-1.333	-1.060	-1.760	-1.738	-2.199	-1.693	-2.625	-2.692	-2.086
F10	F	-2.003	-2.438	-1.881	-2.321	-2.350	-2.050	-3.200	-2.551	-3.309	-2.765	-2.196	-1.896	-1.709	-1.031	-1.562	-1.377	-1.178	-0.641	-1.532	-1.093	-1.967	-2.183	-1.966	-2.288	-2.810	-2.295	-2.723
G01	G	-2.094	-2.049	-2.376	-1.297	-1.841	-1.094	-0.991	-1.363	-0.710	-1.424	-1.573	-1.986	-1.821	-2.944	-2.586	-2.622	-2.622	-2.566	-2.720	-2.965	-2.409	-1.676	-1.715	-2.143	-1.307	-1.581	-1.494
G02	G	-1.843	-1.539	-1.811	-1.376	-1.571	-1.631	-1.083	-0.987	-1.374	-1.459	-1.619	-2.120	-1.742	-2.688	-2.144	-2.887	-3.004	-2.621	-2.265	-2.717	-2.337	-2.323	-1.675	-2.356	-1.536	-1.894	-1.617
G03	G	-1.575	-1.858	-2.443	-1.588	-1.768	-1.756	-0.804	-0.505	-1.062	-1.802	-1.724	-1.988	-2.203	-2.624	-2.354	-2.697	-3.363	-3.375	-2.363	-2.186	-2.852	-1.687	-2.443	-2.058	-1.218	-1.768	-1.597
G04	G	-2.058	-2.041	-1.799	-1.781	-1.491	-1.434	-1.016	-1.109	-1.191	-1.049	-1.404	-1.705	-1.565	-2.002	-2.930	-3.493	-3.491	-3.237	-2.327	-2.186	-2.194	-2.221	-2.395	-1.841	-1.169	-1.205	-1.380
G05	G	-2.133	-2.267	-2.188	-1.064	-1.934	-1.652	-1.045	-1.276	-0.511	-1.217	-1.254	-2.024	-2.053	-2.165	-2.018	-3.405	-2.898	-3.272	-2.911	-2.057	-2.081	-1.930	-2.235	-1.809	-1.728	-1.573	-1.629
G06	G	-1.947	-2.451	-2.198	-1.505	-1.094	-1.252	-0.816	-0.842	-0.885	-1.751	-1.956	-1.807	-2.318	-2.803	-2.045	-2.875	-2.810	-3.325	-2.504	-2.681	-2.448	-1.667	-1.731	-2.136	-1.562	-1.253	-1.382
G07	G	-2.222	-1.950	-1.545	-1.724	-1.772	-1.935	-0.842	-1.244	-1.316	-1.238	-1.059	-2.273	-1.676	-2.547	-2.809	-2.739	-3.489	-3.168	-2.767	-2.167	-2.182	-2.374	-2.495	-1.638	-1.960	-1.884	-1.010
G08	G	-2.435	-1.872	-2.062	-1.507	-1.763	-1.826	-0.525	-1.318	-1.162	-1.480	-1.148	-2.224	-1.517	-2.548	-2.371	-3.144	-2.667	-3.045	-2.628	-2.415	-2.160	-1.959	-1.929	-2.203	-1.074	-1.902	-1.855
G09	G	-1.856	-2.489	-2.289	-1.906	-1.380	-1.401	-1.079	-1.496	-0.606	-1.672	-1.330	-2.157	-1.836	-2.886	-2.814	-2.975	-2.875	-3.457	-2.031	-2.646	-2.485	-1.889	-1.995	-1.628	-1.641	-1.606	-1.593
G10	G	-2.093	-2.399	-2.367	-1.111	-1.945	-1.173	-0.866	-0.878	-1.028	-1.935	-1.644	-1.849	-1.504	-2.139	-2.555	-2.982	-2.952	-3.127	-2.588	-2.992	-2.576	-2.405	-2.221	-1.655	-1.356	-1.448	-1.764
H01	H	-1.653	-1.614	-2.051	-2.162	-2.304	-2.366	-1.913	-2.138	-2.065	-1.058	-1.346	-0.148	0.274	1.278	1.318	2.486	2.395	2.099	2.181	1.974	2.442	1.645	1.662	2.133	2.406	1.684	2.100
H02	H	-1.621	-1.506	-1.633	-2.167	-2.012	-1.623	-2.492	-1.787	-1.758	-1.149	-0.956	-0.470	0.356	0.848	0.925	1.576	2.129	1.517	2.199	1.910	1.758	1.592	2.203	1.652	2.191	2.480	2.442
H03	H	-2.290	-1.505	-1.623	-2.438	-1.602	-1.741	-1.556	-2.032	-1.569	-0.996	-0.640	-0.357	-0.292	0.883	0.800	2.231	2.341	1.996	2.345	1.774	2.169	1.851	1.539	2.355	2.370	2.050	1.981
H04	H	-2.251	-1.778	-2.477	-2.302	-1.576	-2.196	-2.291	-1.754	-1.885	-0.664	-1.416	0.141	-0.421	1.061	1.020	2.113	2.402	2.345	2.126	2.473	2.161	1.742	2.493	1.891	2.258	1.564	1.978
H05	H	-1.967	-2.343	-2.239	-2.379	-1.513	-2.242	-2.409	-1.948	-2.145	-0.959	-0.630	-0.028	0.031	0.621	0.908	2.389	1.795	1.995	2.048	1.660	2.381	2.321	2.318	2.128	2.481	2.497	2.147
H06	H	-2.261	-2.359	-1.677	-2.470	-1.687	-1.995	-2.457	-1.605	-2.093	-1.316	-0.891	0.035	0.173	0.686	0.603	2.066	2.409	1.982	1.766	2.014	2.096	1.531	1.877	1.814	2.417	2.448	1.837
H07	H	-2.364	-2.437	-2.423	-2.220	-2.401	-2.163	-2.385	-1.628	-1.858	-1.155	-0.691	-0.385	-0.317	1.256	1.451	2.406	1.829	1.641	2.229	1.584	2.141	1.882	2.424	1.866	1.647	1.822	2.031
H08	H	-2.013	-2.351	-2.381	-1.585	-2.419	-1.873	-2.232	-2.191	-1.711	-0.922	-0.800	-0.044	0.451	1.241	1.341	2.199	1.608	2.344	1.845	1.746	1.625	1.789	1.501	2.033	2.020	2.426	1.972
H09	H	-2.175	-2.256	-1.728	-1.971	-2.358	-2.144	-1.949	-1.762	-1.523	-1.132	-1.361	0.212	0.251	0.585	0.911	2.054	1.742	2.324	1.778	2.160	2.092	1.851	2.425	2.173	2.085	2.119	1.638
H10	H	-2.305	-1.893	-1.571	-2.013	-1.511	-1.750	-1.635	-1.782	-2.024	-1.190	-1.021	0.332	0.298	1.481	1.401	1.566	1.930	1.774	2.238	1.627	2.083	2.209	2.485	2.412	1.948	1.854	2.140
J01	J	2.459	2.226	2.261	2.281	2.243	2.107	2.462	2.091	1.536	1.320	0.832	0.266	0.378	-1.406	-1.078	-2.452	-1.716	-1.985	-1.659	-2.150	-2.255	-1.952	-2.255	-2.330	-2.148	-2.191	-2.291
J02	J	2.092	2.187	1.519	1.943	2.229	1.816	2.124	2.243	1.745	0.992	1.099	-0.363	0.385	-0.647	-0.792	-2.276	-1.916	-2.178	-1.971	-1.509	-2.058	-1.832	-1.566	-2.062	-1.663	-1.898	-2.100
J03	J	2.210	2.298	1.601	1.511	2.257	1.607	2.121	1.527	2.190	0.997	0.959	-0.223	-0.025	-0.770	-1.483	-1.540	-2.410	-1.685	-1.748	-2.298	-2.207	-2.163	-2.006	-2.147	-2.125	-1.602	-1.818
J04	J	1.653	1.603	2.197	1.796	1.720	1.614	1.657	2.142	1.789	0.615	1.195	-0.384	0.052	-0.578	-0.980	-2.291	-2.383	-1.712	-2.336	-2.164	-2.310	-1.737	-1.631	-1.528	-1.743	-2.138	-1.541
J05	J	2.016	2.145	1.899	1.855	2.056	2.491	1.700	1.590	1.774	0.640	0.888	0.348	-0.345	-1.163	-0.524	-1.507	-2.404	-2.208	-2.428	-1.760	-1.629	-1.634	-1.533	-1.535	-1.839	-2.470	-1.770
J06	J	2.409	1.841	1.770	2.076	2.265	1.565	2.172	2.287	2.336	1.031	0.869	-0.428	-0.275	-0.551	-1.238	-2.239	-2.115	-1.705	-2.467	-2.186	-2.293	-1.799	-2.036	-2.497	-1.902	-1.621	-2.352
J07	J	1.908	1.713	2.389	2.354	2.067	2.200	2.394	1.599	1.763	1.064	1.354	0.469	-0.238	-1.490	-0.849	-2.013	-2.126	-1.594	-2.322	-2.121	-2.278	-2.326	-1.514	-2.373	-2.250	-2.257	-1.621
J08	J	2.435	2.240	1.680	2.190	2.131	2.026	2.105	2.299	2.370	0.635	1.331	0.330	-0.481	-1.047	-0.546	-2.029	-1.693	-1.523	-1.677	-2.385	-2.040	-1.975	-1.806	-2.210	-2.163	-1.726	-1.559
J09	J	1.984	1.645	1.690	1.934	1.536	2.060	2.413	2.039	1.507	0.657	1.432	0.465	-0.096	-0.515	-0.736	-2.394	-2.306	-1.763	-2.274	-1.710	-2.184	-2.483	-2.422	-1.894	-1.693	-1.841	-1.759
J10	J	2.324	2.169	1.964	1.925	1.791	1.996	2.161	1.726	1.941	1.217	1.268	0.490	-0.355	-0.870	-1.012	-1.773	-2.082	-1.836	-2.023	-1.982	-1.920	-1.692	-1.633	-2.404	-1.599	-2.095	-1.709
